Title,Genre,Duration (minutes),IMDb Rating,MetaScore,Certificates,Year,Poster-src,Score
28 Days Later,Drama,113.0,7.5,73.0,R,2002,,7.4399999999999995
Alien: Romulus,Horror,116.3,7.1,66.9,R,2024,,6.977
Arcadian,Action,92.0,5.5,60.0,R,2024,,5.6499999999999995
A Quiet Place: Day One,Drama,116.3,7.1,66.9,R,2024,,6.977
Barbarian,Horror,102.0,7.0,78.0,R,2022,,7.239999999999999
The Coffee Table,Comedy,91.0,6.8,72.0,16+,2022,,6.92
Immaculate,Horror,89.0,5.8,57.0,R,2024,,5.77
Pearl,Drama,103.0,7.0,76.0,R,2022,,7.18
The Invitation,Horror,105.0,5.3,45.0,PG-13,2022,,5.06
The Watchers,Fantasy,102.0,7.1,66.9,PG-13,2024,,6.977
In a Violent Nature,Drama,116.3,5.7,65.0,R,2024,,5.9399999999999995
The Strangers,Horror,86.0,6.1,47.0,R,2008,,5.68
Tarot,Horror,92.0,4.9,36.0,PG-13,2024,,4.51
X,Horror,105.0,6.5,80.0,R,2022,,6.949999999999999
Sting,Horror,92.0,5.7,57.0,R,2024,,5.699999999999999
I Saw the TV Glow,Drama,100.0,6.9,84.0,PG-13,2024,,7.35
Late Night with the Devil,Horror,93.0,7.1,72.0,R,2023,,7.13
The Substance,Drama,116.3,8.0,83.0,R,2024,,8.09
Abigail,Horror,109.0,6.7,62.0,R,2024,,6.549999999999999
The Strangers: Chapter 1,Horror,91.0,5.0,43.0,R,2024,,4.79
Beetlejuice Beetlejuice,Comedy,116.3,7.1,66.9,R,2024,,6.977
Deadpool 2,Action,119.0,7.6,66.0,R,2018,,7.299999999999999
Avengers: Endgame,Action,181.0,8.4,78.0,PG-13,2019,,8.219999999999999
Ghostbusters: Afterlife,Adventure,124.0,7.0,45.0,PG-13,2021,,6.249999999999999
Star Wars: Episode I - The Phantom Menace,Action,136.0,6.5,51.0,PG,1999,,6.08
Spider-Man: No Way Home,Action,148.0,8.2,71.0,PG-13,2021,,7.869999999999999
Ghostbusters,Action,105.0,7.8,71.0,PG,1984,,7.59
The Matrix,Action,136.0,8.7,73.0,R,1999,,8.28
Blade Runner 2049,Action,164.0,8.0,81.0,R,2017,,8.03
Godzilla vs. Kong,Action,113.0,6.3,59.0,PG-13,2021,,6.18
Her,Drama,126.0,8.0,91.0,R,2013,,8.33
Upgrade,Action,100.0,7.5,67.0,R,2018,,7.26
Rise of the Planet of the Apes,Action,105.0,7.6,68.0,PG-13,2011,,7.359999999999999
Poor Things,Comedy,141.0,7.9,88.0,R,2023,,8.17
Deadpool & Wolverine,Action,116.3,7.1,66.9,R,2024,,6.977
Megalopolis,Drama,116.3,7.0,58.0,R,2024,,6.64
Charlie and the Chocolate Factory,Adventure,115.0,6.7,72.0,PG,2005,,6.85
Harry Potter and the Chamber of Secrets,Adventure,161.0,7.4,63.0,PG,2002,,7.069999999999999
Minecraft,Action,116.3,7.1,66.9,R,2025,,6.977
Willy Wonka & the Chocolate Factory,Adventure,100.0,7.8,67.0,G,1971,,7.47
The Sandlot,Comedy,101.0,7.8,55.0,PG,1993,,7.109999999999999
Stardust,Adventure,127.0,7.6,66.0,PG-13,2007,,7.299999999999999
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Adventure,143.0,6.9,75.0,PG,2005,,7.08
Miss Peregrine's Home for Peculiar Children,Adventure,127.0,6.7,57.0,PG-13,2016,,6.3999999999999995
Harry Potter and the Deathly Hallows: Part 2,Adventure,130.0,8.1,85.0,PG-13,2011,,8.219999999999999
Harry Potter and the Prisoner of Azkaban,Adventure,142.0,7.9,82.0,PG,2004,,7.99
The Wizard of Oz,Adventure,102.0,8.1,92.0,G,1939,,8.43
Garfield: The Movie,Adventure,80.0,5.0,27.0,PG,2004,,4.3100000000000005
The Little Mermaid,Adventure,135.0,7.2,59.0,PG,2023,,6.8100000000000005
Harry Potter and the Goblet of Fire,Adventure,157.0,7.7,81.0,PG-13,2005,,7.819999999999999
The Goonies,Adventure,114.0,7.7,62.0,PG,1985,,7.25
The Princess Bride,Adventure,98.0,8.0,78.0,PG,1987,,7.9399999999999995
Jumanji,Adventure,104.0,7.1,39.0,PG,1995,,6.14
Sonic the Hedgehog 3,Action,116.3,7.1,66.9,R,2024,,6.977
Unsung Hero,Drama,113.0,7.8,46.0,PG,2024,,6.84
Land of Bad,Action,113.0,6.5,57.0,R,2024,,6.26
You Can't Run Forever,Drama,102.0,4.4,66.9,R,2024,,5.087
Saltburn,Drama,131.0,7.0,61.0,R,2023,,6.7299999999999995
The Surfer,Thriller,116.3,7.4,69.0,R,2024,,7.25
Where the Crawdads Sing,Drama,125.0,7.2,43.0,PG-13,2022,,6.33
Argylle,Action,139.0,5.7,35.0,PG-13,2024,,5.04
Bullet Train,Action,127.0,7.3,49.0,R,2022,,6.579999999999999
Monkey Man,Action,121.0,6.9,70.0,R,2024,,6.93
The Beekeeper,Action,105.0,6.4,53.0,R,2024,,6.069999999999999
Road House,Action,121.0,6.2,57.0,R,2024,,6.05
Mothers' Instinct,Drama,116.3,6.3,46.0,R,2024,,5.789999999999999
Trigger Warning,Action,116.3,7.1,66.9,R,2024,,6.977
"Red, White & Royal Blue",Comedy,118.0,7.0,62.0,R,2023,,6.76
Sasquatch Sunset,Action,88.0,5.6,65.0,R,2024,,5.869999999999999
10 Things I Hate About You,Comedy,97.0,7.3,70.0,PG-13,1999,,7.209999999999999
Babes,Comedy,104.0,6.5,74.0,R,2024,,6.77
No Hard Feelings,Comedy,103.0,6.4,59.0,R,2023,,6.25
Seize Them!,Comedy,116.3,5.0,44.0,R,2024,,4.82
Deadpool,Action,108.0,8.0,65.0,R,2016,,7.55
Madgaon Express,Comedy,116.3,7.2,66.9,R,2024,,7.047000000000001
Crew,Comedy,116.3,6.1,66.9,R,2024,,6.276999999999999
Miller's Girl,Comedy,93.0,5.2,41.0,R,2024,,4.869999999999999
Anora,Comedy,116.3,7.9,89.0,R,2024,,8.2
The Holdovers,Comedy,133.0,7.9,82.0,R,2023,,7.99
American Fiction,Comedy,117.0,7.5,81.0,R,2023,,7.68
Once Upon a Time... in Hollywood,Comedy,161.0,7.6,84.0,R,2019,,7.84
Beetlejuice,Comedy,92.0,7.5,71.0,PG,1988,,7.38
Laapataa Ladies,Comedy,116.3,8.5,66.9,R,2023,,7.956999999999999
Unfrosted,Biography,97.0,5.5,42.0,PG-13,2024,,5.109999999999999
Anyone But You,Comedy,103.0,6.1,52.0,R,2023,,5.83
Kinds of Kindness,Comedy,164.0,7.0,72.0,R,2024,,7.06
Mother of the Bride,Comedy,88.0,4.8,39.0,TV-PG,2024,,4.529999999999999
The Idea of You,Comedy,115.0,6.4,67.0,R,2024,,6.489999999999999
The Fall Guy,Action,126.0,7.1,73.0,PG-13,2024,,7.16
End of the Spear,Adventure,108.0,6.8,45.0,PG-13,2005,"https://m.media-amazon.com/images/M/MV5BMTYxOTU0NDUzMV5BMl5BanBnXkFtZTcwNDgzMTczMQ@@._V1_QL75_UX190_CR0,2,190,281_.jpg",6.109999999999999
Elvira Madigan,Biography,91.0,7.0,66.0,PG,1967,"https://m.media-amazon.com/images/M/MV5BMmY2NjA5MTktYTAxOS00M2Q2LWE3OGEtMjQ0Y2UxNTE2OGE1XkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_QL75_UY281_CR7,0,190,281_.jpg",6.879999999999999
